Postcode,Neighborhood,Borough
10115,Mitte,Mitte
10117,Mitte,Mitte
10119,Mitte,Mitte
10178,Mitte,Mitte
10179,Mitte,Mitte
10551,Moabit,Mitte
10553,Moabit,Mitte
10555,Moabit,Mitte
10557,Moabit,Mitte
10559,Moabit,Mitte
13353,Moabit,Mitte
10555,Hansaviertel,Mitte
10557,Hansaviertel,Mitte
10557,Tiergarten,Mitte
10785,Tiergarten,Mitte
10787,Tiergarten,Mitte
13347,Wedding,Mitte
13349,Wedding,Mitte
13351,Wedding,Mitte
13353,Wedding,Mitte
13357,Wedding,Mitte
13359,Wedding,Mitte
13407,Wedding,Mitte
13347,Gesundbrunnen,Mitte
13353,Gesundbrunnen,Mitte
13355,Gesundbrunnen,Mitte
13357,Gesundbrunnen,Mitte
13359,Gesundbrunnen,Mitte
13409,Gesundbrunnen,Mitte
10243,Friedrichshain,Friedrichshain-Kreuzberg
10245,Friedrichshain,Friedrichshain-Kreuzberg
10247,Friedrichshain,Friedrichshain-Kreuzberg
10249,Friedrichshain,Friedrichshain-Kreuzberg
10178,Friedrichshain,Friedrichshain-Kreuzberg
10179,Friedrichshain,Friedrichshain-Kreuzberg
10317,Friedrichshain,Friedrichshain-Kreuzberg
10961,Kreuzberg,Friedrichshain-Kreuzberg
10963,Kreuzberg,Friedrichshain-Kreuzberg
10965,Kreuzberg,Friedrichshain-Kreuzberg
10967,Kreuzberg,Friedrichshain-Kreuzberg
10997,Kreuzberg,Friedrichshain-Kreuzberg
10999,Kreuzberg,Friedrichshain-Kreuzberg
10969,Kreuzberg,Friedrichshain-Kreuzberg
10119,PrenzlauerBerg,Pankow
10247,PrenzlauerBerg,Pankow
10249,PrenzlauerBerg,Pankow
10369,PrenzlauerBerg,Pankow
10405,PrenzlauerBerg,Pankow
10407,PrenzlauerBerg,Pankow
10409,PrenzlauerBerg,Pankow
10435,PrenzlauerBerg,Pankow
10437,PrenzlauerBerg,Pankow
10439,PrenzlauerBerg,Pankow
13187,PrenzlauerBerg,Pankow
13189,PrenzlauerBerg,Pankow
10585,Charlottenburg,Charlottenburg-Wilmersdorf
10587,Charlottenburg,Charlottenburg-Wilmersdorf
10589,Charlottenburg,Charlottenburg-Wilmersdorf
10623,Charlottenburg,Charlottenburg-Wilmersdorf
10625,Charlottenburg,Charlottenburg-Wilmersdorf
10627,Charlottenburg,Charlottenburg-Wilmersdorf
10629,Charlottenburg,Charlottenburg-Wilmersdorf
14052,Charlottenburg,Charlottenburg-Wilmersdorf
14055,Charlottenburg,Charlottenburg-Wilmersdorf
14057,Charlottenburg,Charlottenburg-Wilmersdorf
14059,Charlottenburg,Charlottenburg-Wilmersdorf
10707,Wilmersdorf,Charlottenburg-Wilmersdorf
10709,Wilmersdorf,Charlottenburg-Wilmersdorf
10713,Wilmersdorf,Charlottenburg-Wilmersdorf
10715,Wilmersdorf,Charlottenburg-Wilmersdorf
10717,Wilmersdorf,Charlottenburg-Wilmersdorf
10719,Wilmersdorf,Charlottenburg-Wilmersdorf
10777,Wilmersdorf,Charlottenburg-Wilmersdorf
14197,Wilmersdorf,Charlottenburg-Wilmersdorf
10777,Schöneberg,Tempelhof-Schöneberg
10779,Schöneberg,Tempelhof-Schöneberg
10781,Schöneberg,Tempelhof-Schöneberg
10783,Schöneberg,Tempelhof-Schöneberg
10787,Schöneberg,Tempelhof-Schöneberg
10789,Schöneberg,Tempelhof-Schöneberg
10823,Schöneberg,Tempelhof-Schöneberg
10825,Schöneberg,Tempelhof-Schöneberg
10827,Schöneberg,Tempelhof-Schöneberg
10829,Schöneberg,Tempelhof-Schöneberg
12157,Schöneberg,Tempelhof-Schöneberg
12159,Schöneberg,Tempelhof-Schöneberg
12161,Schöneberg,Tempelhof-Schöneberg
12169,Schöneberg,Tempelhof-Schöneberg
12043,Neukölln,Neukölln
12045,Neukölln,Neukölln
12047,Neukölln,Neukölln
12049,Neukölln,Neukölln
12051,Neukölln,Neukölln
12053,Neukölln,Neukölln
12055,Neukölln,Neukölln
12057,Neukölln,Neukölln
12059,Neukölln,Neukölln





















